Date,GAME,GameID,Visitor Team,Home Team,VisTeamID,HomeTeamID,RATING,VIEWERS,Network,TeamIDsDate
11/7/2009,VU @ FLA,Vanderbilt-Florida11-07-2009,Vanderbilt,Florida,VANDY,UF,2.07,1.37,ESPN2,VANDY@UF11-07-2009
11/5/2005,VU @ UF,Vanderbilt-Florida11-05-2005,Vanderbilt,Florida,VANDY,UF,1.19,1,ESPN2,VANDY@UF11-05-2005
9/25/2004,Kentucky @ Florida,Kentucky-Florida09-25-2004,Kentucky,Florida,UK,UF,1.4,1.05,ESPN2,UK@UF09-25-2004
11/13/2004,S. Carolina @ Florida,South Carolina-Florida11-13-2004,South Carolina,Florida,SCAR,UF,1.19,1,ESPN2,SCAR@UF11-13-2004
11/17/2018,Idaho @ Florida,Idaho-Florida11-17-2018,Idaho,Florida,IDAHO,UF,N/A,295091,ESPNU,IDAHO@UF11-17-2018
9/17/2016,N. Texas @ Florida,North Texas-Florida09-17-2016,North Texas,Florida,UNT,UF,0.3,543044,ESPNU,UNT@UF09-17-2016
8/30/2014,Idaho @ FLA,Idaho-Florida08-30-2014,Idaho,Florida,IDAHO,UF,N/A,N/A,ESPNU,IDAHO@UF08-30-2014
9/3/2011,Fla Atlantic @ UF,Florida Atlantic-Florida09-03-2011,Florida Atlantic,Florida,FAU,UF,0.5,516931,ESPNU,FAU@UF09-03-2011
11/24/2018,Florida @ Florida State [ESPN],Florida-Florida State11-24-2018,Florida,Florida State,UF,FSU,N/A,2415399,ESPN,UF@FSU11-24-2018
11/26/2016,Florida @ Florida St (ABC),Florida-Florida State11-26-2016,Florida,Florida State,UF,FSU,3.6,4240277,ABC,UF@FSU11-26-2016
9/5/2016,Ole Miss @ Florida St (ESPN),Mississippi (Ole Miss)-Florida State09-05-2016,Mississippi (Ole Miss),Florida State,OM,FSU,4.8,8354036,ESPN,OM@FSU09-05-2016
11/29/2014,Florida @ Florida State,Florida-Florida State11-29-2014,Florida,Florida State,UF,FSU,3.5,5964410,ESPN,UF@FSU11-29-2014
11/24/2012,UF @ Florida State (ABC),Florida-Florida State11-24-2012,Florida,Florida State,UF,FSU,5.1,8466280,ABC,UF@FSU11-24-2012
11/20/2004,Florida @ Florida State,Florida-Florida State11-20-2004,Florida,Florida State,UF,FSU,4.41,N/A,ESPN,UF@FSU11-20-2004
